2025-10-04 17:30:31,133 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20251004_173031_132 ===
2025-10-04 17:30:31,133 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20251004_173031_132/input.pdf (106016 bytes)
2025-10-04 17:30:31,133 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-10-04 17:30:31,133 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-10-04 17:30:31,134 |     INFO |         log_mappings:  83 |   '16.6' → '19.9'
2025-10-04 17:30:31,134 |     INFO |         log_mappings:  83 |   '3,342.2' → '3.345.5'
2025-10-04 17:30:31,134 |     INFO |         log_mappings:  81 | Word mappings to apply: 2 total
2025-10-04 17:30:31,134 |     INFO |         log_mappings:  83 |   '16.6' → '19.9'
2025-10-04 17:30:31,134 |     INFO |         log_mappings:  83 |   '3,342.2' → '3.345.5'
2025-10-04 17:30:31,135 |     INFO | log_pattern_building:  99 | Building regex pattern for 5 words (ignore_case=True)
2025-10-04 17:30:31,135 |    DEBUG | log_pattern_building: 100 | Words to match: ['16.6', '3,342.2', '16 .6', '3 ,342.2', '3,342 .2']
2025-10-04 17:30:31,135 |    DEBUG | log_pattern_building: 101 | Compiled pattern: 3\ ,342\.2|3,342\ \.2|3,342\.2|16\ \.6|16\.6
2025-10-04 17:30:31,163 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 0: ''
2025-10-04 17:30:31,164 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 1: ''
2025-10-04 17:30:31,164 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 2: ''
2025-10-04 17:30:31,164 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 3: ''
2025-10-04 17:30:31,164 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 4: ''
2025-10-04 17:30:31,165 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 5: ''
2025-10-04 17:30:31,165 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 6: ''
2025-10-04 17:30:31,165 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 7: ''
2025-10-04 17:30:31,165 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 8: ''
2025-10-04 17:30:31,165 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 9: ''
2025-10-04 17:30:31,166 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 10: ''
2025-10-04 17:30:31,166 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 11: ''
2025-10-04 17:30:31,166 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 12: ''
2025-10-04 17:30:31,166 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 13: ''
2025-10-04 17:30:31,166 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 14: ''
2025-10-04 17:30:31,167 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 15: ''
2025-10-04 17:30:31,167 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 16: ''
2025-10-04 17:30:31,167 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 17: ''
2025-10-04 17:30:31,167 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 18: ''
2025-10-04 17:30:31,167 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 19: ''
2025-10-04 17:30:31,168 |    DEBUG | _find_cross_array_matches: 137 | Cross-array window 20: ''
